candidate_id,first_name,surname,highest_qualification,code_HEL,"Arts, Design & Media","Business, Finance & Management",Culinary & Hospitality,Education & Training,Health & Medical Sciences,Humanities & Social Sciences,Law & Political Science,Marketing & Sales,"STEM (Science, Technology, Engineering & Mathematics)",Skilled Trades & Technical Certifications,Veterinary & Animal Sciences,latest_job_title,total_years_experience,avg_years_per_job,total_certifications,"cert_Business, Finance & Management","cert_Design, Arts & Media",cert_Education & Training,cert_Engineering & Technical Trades,cert_Finance & Accounting,"cert_Health, Medical & Veterinary",cert_Hospitality & Culinary,cert_Humanities & Social Sciences,cert_Languages & Communication,"cert_Law, Security & Emergency Services",cert_Marketing & Sales,cert_Project & Business Management,cert_Skilled Trades & Technical Certifications,cert_Technology & IT
1,John,Smith,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Lead Developer,10.959616700889802,2.7399041752224504,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1,John,Smith,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Lead Developer,10.959616700889802,2.7399041752224504,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2,Sarah,Johnson,Bachelor's Degree,3,0,0,0,0,0,0,0,3,0,0,0,Marketing Manager,9.015742642026009,3.005247547342003,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2,Sarah,Johnson,Bachelor's Degree,3,0,0,0,0,0,0,0,3,0,0,0,Marketing Manager,9.015742642026009,3.005247547342003,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0
3,Michael,Brown,PhD,6,0,0,0,0,0,0,0,0,6,0,0,Senior AI Researcher,12.0,4.0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
3,Michael,Brown,PhD,6,0,0,0,0,0,0,0,0,6,0,0,Senior AI Researcher,12.0,4.0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
3,Michael,Brown,PhD,6,0,0,0,0,0,0,0,0,6,0,0,Senior AI Researcher,12.0,4.0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4,Jennifer,Davis,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Senior UX Designer,7.008898015058179,2.336299338352726,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0
4,Jennifer,Davis,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Senior UX Designer,7.008898015058179,2.336299338352726,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0
5,Robert,Wilson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Senior Project Manager,15.97262149212868,3.99315537303217,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0
5,Robert,Wilson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Senior Project Manager,15.97262149212868,3.99315537303217,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0
