,candidate_id,first_name,last_name,top_degree,hel_code,arts_design_media,business_finance_mgmt,culinary_hospitality,education_training,health_medical,humanities_social,law_politics,marketing_sales,stem,skilled_trades,veterinary_science,last_job_title,total_exp_years,avg_years_job,total_certs,cert_business_mgmt,cert_arts_design,cert_education,cert_engineering,cert_finance,cert_health,cert_hospitality,cert_humanities,cert_languages,cert_law_security,cert_marketing,cert_proj_mgmt,cert_skilled_trades,cert_tech_it
0,1,John,Smith,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Lead Developer,10.959616700889802,2.7399041752224504,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2,2,Sarah,Johnson,Bachelor's Degree,3,0,0,0,0,0,0,0,3,0,0,0,Marketing Manager,9.015742642026009,3.005247547342003,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0
4,3,Michael,Brown,PhD,6,0,0,0,0,0,0,0,0,6,0,0,Senior AI Researcher,12.0,4.0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
7,4,Jennifer,Davis,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Senior UX Designer,7.008898015058179,2.336299338352726,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0
9,5,Robert,Wilson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Senior Project Manager,15.97262149212868,3.99315537303217,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0
12,6,Lisa,Anderson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Finance Manager,11.96167008898015,2.9904175222450373,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0
15,7,David,Martinez,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior DevOps Engineer,9.713894592744696,3.237964864248232,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
18,8,Emma,Taylor,MBA,5,0,5,0,0,0,0,0,0,3,0,0,Product Manager,10.93223819301848,3.644079397672827,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
20,9,Christopher,Moore,Master's Degree,5,0,0,0,0,0,0,0,0,5,0,0,Senior Security Consultant,12.711841204654348,4.237280401551449,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2
23,10,Amanda,Garcia,Bachelor's Degree,3,0,3,0,0,0,0,0,1,0,0,0,Sales Manager,10.00684462696783,3.3356148756559434,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0
25,11,Ryan,Thompson,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Mobile Developer,9.015742642026009,3.005247547342003,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3
28,12,Ashley,White,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,HR Manager,8.008213552361397,2.669404517453799,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
